order_id,order_date,despatch_date
134763,2021-11-23 04:11:00,2021-11-23 13:11:00
134764,2021-11-23 04:11:00,2021-11-23 09:11:00
134765,2021-11-23 07:11:00,2021-11-24 01:11:00
134766,2021-11-23 08:11:00,2021-11-23 10:11:00
134767,2021-11-23 08:11:00,2021-11-23 10:11:00
134768,2021-11-23 08:11:00,2021-11-23 10:11:00
134769,2021-11-23 08:11:00,2021-11-23 09:11:00
134770,2021-11-23 08:11:00,2021-11-23 10:11:00
134773,2021-11-23 09:11:00,2021-11-23 10:11:00
134774,2021-11-23 09:11:00,2021-11-23 10:11:00
134775,2021-11-23 09:11:00,2021-11-23 10:11:00
134776,2021-11-23 09:11:00,2021-11-24 00:11:00
134777,2021-11-23 09:11:00,2021-11-23 10:11:00
134778,2021-11-23 09:11:00,2021-11-23 10:11:00
134779,2021-11-23 10:11:00,2021-11-23 10:11:00
134780,2021-11-23 10:11:00,2021-11-23 10:11:00
134781,2021-11-23 10:11:00,2021-11-23 10:11:00
134782,2021-11-23 10:11:00,2021-11-23 14:11:00
134783,2021-11-23 10:11:00,2021-11-23 21:11:00
134784,2021-11-23 10:11:00,2021-11-24 11:11:00
134785,2021-11-23 10:11:00,2021-11-23 11:11:00
134786,2021-11-23 10:11:00,2021-11-23 14:11:00
134787,2021-11-23 10:11:00,2021-11-23 14:11:00
134788,2021-11-23 10:11:00,2021-11-23 14:11:00
134789,2021-11-23 10:11:00,2021-11-23 16:11:00
134790,2021-11-23 11:11:00,2021-11-23 11:11:00
134791,2021-11-23 11:11:00,2021-11-23 14:11:00
134792,2021-11-23 11:11:00,2021-11-23 14:11:00
134793,2021-11-23 11:11:00,2021-11-23 20:11:00
134794,2021-11-23 12:11:00,2021-11-23 14:11:00
134795,2021-11-23 11:11:00,2021-11-23 14:11:00
134797,2021-11-23 12:11:00,2021-11-23 12:11:00
134798,2021-11-23 12:11:00,2021-11-23 18:11:00
134799,2021-11-23 13:11:00,2021-11-24 11:11:00
134800,2021-11-23 13:11:00,2021-11-24 10:11:00
134801,2021-11-23 13:11:00,2021-11-23 17:11:00
134802,2021-11-23 13:11:00,2021-11-24 10:11:00
134803,2021-11-23 13:11:00,2021-11-23 14:11:00
134804,2021-11-23 14:11:00,2021-11-24 10:11:00
134805,2021-11-23 13:11:00,2021-11-23 16:11:00
134807,2021-11-23 14:11:00,2021-11-24 11:11:00
134808,2021-11-23 14:11:00,2021-11-23 20:11:00
134809,2021-11-23 14:11:00,2021-11-24 10:11:00
134810,2021-11-23 14:11:00,2021-11-24 10:11:00
134811,2021-11-23 15:11:00,2021-11-24 14:11:00
134812,2021-11-23 15:11:00,2021-11-23 21:11:00
134813,2021-11-23 15:11:00,2021-11-23 21:11:00
134814,2021-11-23 15:11:00,2021-11-24 15:11:00
134815,2021-11-23 15:11:00,2021-11-24 10:11:00
134816,2021-11-23 15:11:00,2021-11-24 15:11:00
134818,2021-11-23 15:11:00,2021-11-24 03:11:00
134819,2021-11-23 15:11:00,2021-11-24 11:11:00
134820,2021-11-23 15:11:00,2021-11-24 19:11:00
134821,2021-11-23 16:11:00,2021-11-24 11:11:00
134822,2021-11-23 16:11:00,2021-11-24 10:11:00
134823,2021-11-23 16:11:00,2021-11-24 11:11:00
134824,2021-11-23 16:11:00,2021-11-24 10:11:00
134825,2021-11-23 16:11:00,2021-11-24 11:11:00
134826,2021-11-23 16:11:00,2021-11-24 10:11:00
134827,2021-11-23 16:11:00,2021-11-23 23:11:00
134828,2021-11-23 16:11:00,2021-11-23 21:11:00
134829,2021-11-23 16:11:00,2021-11-23 21:11:00
134830,2021-11-23 16:11:00,2021-11-24 10:11:00
134831,2021-11-23 16:11:00,2021-11-23 23:11:00
134832,2021-11-23 16:11:00,2021-11-24 10:11:00
134833,2021-11-23 17:11:00,2021-11-24 12:11:00
134834,2021-11-23 17:11:00,2021-11-24 00:11:00
134835,2021-11-23 17:11:00,2021-11-24 11:11:00
134836,2021-11-23 17:11:00,2021-11-24 10:11:00
134837,2021-11-23 17:11:00,2021-11-24 10:11:00
134838,2021-11-23 17:11:00,2021-11-24 10:11:00
134839,2021-11-23 17:11:00,2021-11-24 10:11:00
134840,2021-11-23 18:11:00,2021-11-24 10:11:00
134841,2021-11-23 18:11:00,2021-11-24 10:11:00
134842,2021-11-23 18:11:00,2021-11-24 09:11:00
134843,2021-11-23 18:11:00,2021-11-24 15:11:00
134844,2021-11-23 18:11:00,2021-11-24 11:11:00
134845,2021-11-23 18:11:00,2021-11-24 15:11:00
134846,2021-11-23 18:11:00,2021-11-23 22:11:00
134847,2021-11-23 18:11:00,2021-11-24 02:11:00
134848,2021-11-23 18:11:00,2021-11-24 10:11:00
134849,2021-11-23 18:11:00,2021-11-24 11:11:00
134850,2021-11-23 19:11:00,2021-11-24 11:11:00
134851,2021-11-23 19:11:00,2021-11-24 15:11:00
134852,2021-11-23 19:11:00,2021-11-24 11:11:00
134853,2021-11-23 19:11:00,2021-11-24 02:11:00
134854,2021-11-23 19:11:00,2021-11-24 10:11:00
134855,2021-11-23 20:11:00,2021-11-24 00:11:00
134856,2021-11-23 19:11:00,2021-11-24 10:11:00
134857,2021-11-23 20:11:00,2021-11-24 22:11:00
134858,2021-11-23 20:11:00,2021-11-24 11:11:00
134859,2021-11-23 20:11:00,2021-11-24 00:11:00
134860,2021-11-23 20:11:00,2021-11-24 21:11:00
134861,2021-11-23 20:11:00,2021-11-24 11:11:00
134862,2021-11-23 20:11:00,2021-11-24 11:11:00
134863,2021-11-23 20:11:00,2021-11-24 10:11:00
134864,2021-11-23 20:11:00,2021-11-24 00:11:00
134865,2021-11-23 20:11:00,2021-11-24 10:11:00
134866,2021-11-23 20:11:00,2021-11-24 10:11:00
134867,2021-11-23 20:11:00,2021-11-24 17:11:00
