User Type,Source,Medium,Browser,Device Category,Date,Pageviews
New Visitor,(direct),(none),Android Webview,tablet,2020-08-05,2
New Visitor,(direct),(none),Android Webview,tablet,2020-08-05,2
New Visitor,(direct),(none),Android Webview,tablet,2020-07-15,1
New Visitor,(direct),(none),Android Webview,tablet,2020-08-10,1
New Visitor,(direct),(none),Android Webview,tablet,2020-08-10,1
New Visitor,(direct),(none),Android Webview,tablet,2020-07-29,1
New Visitor,(direct),(none),Android Webview,tablet,2020-08-05,1
New Visitor,(direct),(none),awin.com - site screen shotter,desktop,2020-07-28,1
New Visitor,(direct),(none),awin.com - site screen shotter,desktop,2020-07-28,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,4
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,4
New Visitor,(direct),(none),Chrome,desktop,2020-07-16,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,4
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-22,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-23,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-24,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-25,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-26,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-28,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-30,3
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,3
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,5
New Visitor,(direct),(none),Chrome,desktop,2020-08-04,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-08,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-09,3
New Visitor,(direct),(none),Chrome,desktop,2020-08-10,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-11,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-28,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-30,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-10,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-20,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-24,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-26,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-28,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-10,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-25,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-20,4
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-22,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,5
New Visitor,(direct),(none),Chrome,desktop,2020-07-28,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-30,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-10,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-11,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-07,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-28,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-22,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-10,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-16,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-09,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-28,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,4
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,7
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-16,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-04,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-12,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-11,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-22,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-22,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-12,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-11,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-11,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-05,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-11,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-07,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-20,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-25,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-26,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-19,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-23,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-05,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,4
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-20,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-22,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-24,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-26,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,3
New Visitor,(direct),(none),Chrome,desktop,2020-07-28,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-30,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-10,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-10,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,4
New Visitor,(direct),(none),Chrome,desktop,2020-07-21,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,2
New Visitor,(direct),(none),Chrome,desktop,2020-08-08,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-24,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-16,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-21,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-28,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-20,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-04,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-10,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-18,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-08,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-29,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-12,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-17,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-27,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,2
New Visitor,(direct),(none),Chrome,desktop,2020-07-16,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-30,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-05,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-26,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-15,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-22,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-03,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-26,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-26,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-14,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-02,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-06,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-08,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-08,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-08,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-22,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-24,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-01,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-08,1
New Visitor,(direct),(none),Chrome,desktop,2020-08-11,1
New Visitor,(direct),(none),Chrome,desktop,2020-07-25,1
